dataResourceName,merit/biocollect,digi_vol,citizen_science,non_cs,Scientific,Commercial,Government,Indigenous,Mixed source dataset,"Collection managed (Museum, Herbarium...) ?",Data in Biocache,International,NRM,Data Biocache,CS type
Australian Sea Lion and New Zealand Fur Seal Distribution Database from Coastal and Marine Resources Information System (CAMRIS),N,N,N,Y,Y,N,N,N,N,N,N,N,N,0,NA
Australian Seagrass distribution Points Dataset 2005,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,3150,NA
Australian Succulents,N,N,Y,N,N,N,N,N,N,N,Y,N,N,415,"unassisted CS, personal obs"
Australian Trust for Conservation Volunteers Green Army Quarterly Reporting,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Australian Trust for Conservation Volunteers Green Army Quarterly Reporting,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Australian Trust for Conservation Volunteers Green Army Reporting,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
Australia's Census of Antarctic Marine Life project - IYGPT Data collected on the CEAMARC cruise 2007/08,N,N,N,N,N,N,N,N,N,Y,Y,N,N,8778,NA
Auswildlife,N,N,Y,N,N,N,N,N,N,N,Y,N,N,368,"unassisted CS, personal obs"
Avon Baselining - Invertebrates,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,338,NA
Avon Baselining - Waterbirds,N,N,N,Y,Y,N,N,N,N,N,Y,N,N,116,NA
Avon habitat improvement through pest species management along the river - Project 1,N,N,N,N,N,N,N,N,N,N,N,N,Y,0,NA
