occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey,,,Phylum,Count,,,Genus,count,,dataResourceName,Count,,,,dataResourceName
,Anoplolepis gracilipes,"Anoplolepis gracilipes (Smith, 1857)",1317433,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Anoplolepis,Anoplolepis gracilipes,Anoplolepis gracilipes,"(Smith, 1857) ",1317433,,,,,,,,Vachellia,5,,,,,,,iNaturalist Australia
,Linepithema humile,"Linepithema humile (Mayr, 1868)",1316908,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,Linepithema humile,Linepithema humile,"(Mayr, 1868) ",1316908,,,,,,,,Styela plicata,5,,,,,,,iNaturalist Australia
,Solenopsis invicta,"Solenopsis invicta Buren, 1972",5035230,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis invicta,Solenopsis invicta,"Buren, 1972",5035230,,,,,,,,Genista monspessulana,4,,,,,,,iNaturalist Australia
,Ceratitis capitata,"Ceratitis capitata (Wiedemann, 1824)",1626096,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Diptera,Tephritidae,Ceratitis,Ceratitis capitata,Ceratitis capitata,"(Wiedemann, 1824) ",1626096,,,,,,,,Aphis fabae,4,,,,,,,iNaturalist Australia
,Protaetia fusca,"Protaetia fusca (Herbst, 1790)",1080274,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Protaetia,Protaetia fusca,Protaetia fusca,"(Herbst, 1790) ",1080274,,,,,,,,Orobanche minor,4,,,,,,,iNaturalist Australia
,Apis (Apis) cerana,"Apis cerana Fabricius, 1793",1341979,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis cerana,Apis cerana,"Fabricius, 1793",1341979,,,,,,,,Ludwigia peruviana,4,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Camponotus suffusus suffusus,4,,,,,,,iNaturalist Australia
,Harmonia axyridis,"Harmonia axyridis (Pallas, 1773)",4989904,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,Harmonia axyridis,Harmonia axyridis,"(Pallas, 1773) ",4989904,,,,,,,,Technomyrmex sophiae,4,,,,,,,iNaturalist Australia
,Apis (Apis) cerana,"Apis cerana Fabricius, 1793",1341979,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis cerana,Apis cerana,"Fabricius, 1793",1341979,,,,,,,,Opuntia stricta,4,,,,,,,iNaturalist Australia
,Solenopsis invicta,"Solenopsis invicta Buren, 1972",5035230,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis invicta,Solenopsis invicta,"Buren, 1972",5035230,,,,,,,,Coptotermes,4,,,,,,,iNaturalist Australia
,Anoplolepis gracilipes,"Anoplolepis gracilipes (Smith, 1857)",1317433,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Anoplolepis,Anoplolepis gracilipes,Anoplolepis gracilipes,"(Smith, 1857) ",1317433,,,,,,,,Coptotermes acinaciformis,4,,,,,,,iNaturalist Australia
,Anoplolepis gracilipes,"Anoplolepis gracilipes (Smith, 1857)",1317433,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Anoplolepis,Anoplolepis gracilipes,Anoplolepis gracilipes,"(Smith, 1857) ",1317433,,,,,,,,Araujia sericifera,3,,,,,,,iNaturalist Australia
,Coleosoma floridanum,"Coleosoma floridanum Banks, 1900",2155867,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Coleosoma,Coleosoma floridanum,Coleosoma floridanum,"Banks, 1900",2155867,,,,,,,,Cytisus scoparius,3,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Protaetia fusca,3,,,,,,,iNaturalist Australia
,Solenopsis invicta,"Solenopsis invicta Buren, 1972",5035230,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis invicta,Solenopsis invicta,"Buren, 1972",5035230,,,,,,,,Wasmannia auropunctata,3,,,,,,,iNaturalist Australia
,Solenopsis invicta,"Solenopsis invicta Buren, 1972",5035230,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis invicta,Solenopsis invicta,"Buren, 1972",5035230,,,,,,,,Ceratitis capitata,3,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Euphorbia esula,3,,,,,,,iNaturalist Australia
,Anoplolepis gracilipes,"Anoplolepis gracilipes (Smith, 1857)",1317433,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Anoplolepis,Anoplolepis gracilipes,Anoplolepis gracilipes,"(Smith, 1857) ",1317433,,,,,,,,Amniataba percoides,3,,,,,,,iNaturalist Australia
,Protaetia fusca,"Protaetia fusca (Herbst, 1790)",1080274,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Protaetia,Protaetia fusca,Protaetia fusca,"(Herbst, 1790) ",1080274,,,,,,,,Camponotus suffusus,3,,,,,,,iNaturalist Australia
,Apis (Apis) cerana,"Apis cerana Fabricius, 1793",1341979,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis cerana,Apis cerana,"Fabricius, 1793",1341979,,,,,,,,Gleditsia triacanthos,3,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Magallana gigas,3,,,,,,,iNaturalist Australia
,Anoplolepis gracilipes,"Anoplolepis gracilipes (Smith, 1857)",1317433,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Anoplolepis,Anoplolepis gracilipes,Anoplolepis gracilipes,"(Smith, 1857) ",1317433,,,,,,,,Orgyia anartoides,3,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Conoderus exsul,3,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Philaenus spumarius,2,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Gryllodes sigillatus,2,,,,,,,iNaturalist Australia
,Anoplolepis gracilipes,"Anoplolepis gracilipes (Smith, 1857)",1317433,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Anoplolepis,Anoplolepis gracilipes,Anoplolepis gracilipes,"(Smith, 1857) ",1317433,,,,,,,,Corbicula (Corbiculina) maroubra,2,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Tridentiger trigonocephalus,2,,,,,,,iNaturalist Australia
,Apis (Apis) cerana,"Apis cerana Fabricius, 1793",1341979,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis cerana,Apis cerana,"Fabricius, 1793",1341979,,,,,,,,Camponotus eastwoodi,2,,,,,,,iNaturalist Australia
,Anoplolepis gracilipes,"Anoplolepis gracilipes (Smith, 1857)",1317433,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Anoplolepis,Anoplolepis gracilipes,Anoplolepis gracilipes,"(Smith, 1857) ",1317433,,,,,,,,Camponotus aurocinctus,2,,,,,,,iNaturalist Australia
,Linepithema humile,"Linepithema humile (Mayr, 1868)",1316908,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,Linepithema humile,Linepithema humile,"(Mayr, 1868) ",1316908,,,,,,,,Camponotus gasseri,2,,,,,,,iNaturalist Australia
,Pheidole megacephala,"Pheidole megacephala (Fabricius, 1793)",1322635,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Pheidole,Pheidole megacephala,Pheidole megacephala,"(Fabricius, 1793) ",1322635,,,,,,,,Technomyrmex jocosus,2,,,,,,,iNaturalist Australia
,Wasmannia auropunctata,"Wasmannia auropunctata (Roger, 1863)",1315391,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Wasmannia,Wasmannia auropunctata,Wasmannia auropunctata,"(Roger, 1863) ",1315391,,,,,,,,Asparagus declinatus,2,,,,,,,iNaturalist Australia
,Halyomorpha halys,"Halyomorpha halys (Stål, 1855)",4485843,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Halyomorpha,Halyomorpha halys,Halyomorpha halys,"(Stål, 1855) ",4485843,,,,,,,,Technomyrmex cedarensis,2,,,,,,,iNaturalist Australia
,Solenopsis invicta,"Solenopsis invicta Buren, 1972",5035230,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis invicta,Solenopsis invicta,"Buren, 1972",5035230,,,,,,,,Solenopsis,2,,,,,,,iNaturalist Australia
,Apis (Apis) cerana,"Apis cerana Fabricius, 1793",1341979,EXACT,99,ACCEPTED,SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,Apis cerana,Apis cerana,"Fabricius, 1793",1341979,,,,,,,,Opuntia aurantiaca,2,,,,,,,iNaturalist Australia
