species_name,museum_name,location,state,country,n_records,sex,subspecies,notes,extra_notes
Trichoglossus haematodus,,Broome,Western Australia,Australia,2,f,moluccanus x rubritorquis,notes say probably pure rubritorqus but moluccanus is written in a different pen colour - added later?,
Trichoglossus moluccanus,,Burdekin Gap (Townsville region) 20 to 24degrees South Gladstone,Queensland,Australia,22,m,,Burdekin Gap (Townsville region) 20 to 24degrees South Gladstone,
Trichoglossus moluccanus,,Burdekin Gap (Townsville region) 20 to 24degrees South Gladstone,Queensland,Australia,23,f,,Burdekin Gap (Townsville region) 20 to 24degrees South Gladstone,
Trichoglossus rubritorquis,,Victoria River District,Northern Territory,Australia,37,m,,Kimberly Victoria River District,
Trichoglossus rubritorquis,,Victoria River District,Northern Territory,Australia,34,f,,Kimberly Victoria River District,
Trichoglossus rubritorquis,,Melville Island,Northern Territory,Australia,11,m,,,
Trichoglossus rubritorquis,,Melville Island,Northern Territory,Australia,4,f,,,
Trichoglossus rubritorquis,,Arnhem Land to Gulf of Carpentaria,,Australia,46,m,,,
Trichoglossus rubritorquis,,Arnhem Land to Gulf of Carpentaria,,Australia,29,f,,,
Trichoglossus rubritorquis,,S Gulf of Carpentaria Roper and Nicholson Rivers,,Australia,26,m,,,
Trichoglossus rubritorquis,,S Gulf of Carpentaria Roper and Nicholson Rivers,,Australia,10,f,,,
Trichoglossus moluccanus,,Hunter to S Monaro / Murray River,Victoria,Australia,70,m,,32 to 36 degrees,
Trichoglossus moluccanus,,Hunter to S Monaro / Murray River,Victoria,Australia,28,f,,32 to 36 degrees,
Trichoglossus moluccanus,AM,Gayndah (Burnett River),Queensland,Australia,1,,,unsexed,
Trichoglossus moluccanus,AM,Astonville,,Australia,1,,,unsexed,
Trichoglossus moluccanus,AM,Copmanhurst,New South Wales,Australia,3,,,unsexed,
Trichoglossus moluccanus,AM,Macleay River,New South Wales,Australia,1,,,unsexed,
Trichoglossus moluccanus,AM,Pt Denison,Queensland,Australia,1,,,unsexed,
Trichoglossus moluccanus,AM,Fraser Island,Queensland,Australia,1,,,unsexed,
Trichoglossus moluccanus,AM,Blackheath,New South Wales,Australia,1,,,unsexed,Blackheath Blue Mts
Trichoglossus moluccanus,AM,Port Stephens,New South Wales,Australia,1,,,unsexed,
