species_name,museum_name,location,state,country,n_records,sex,subspecies,notes
Cacatua sanguinea,?,Normanton,Queensland,Australia,4,f,,
Cacatua sanguinea,?,Birdsville,Queensland,Australia,1,f,,
Cacatua sanguinea,?,Olary,South Australia,Australia,1,f,,ad by wing tip
Cacatua sanguinea,?,Yanco Glen,New South Wales,Australia,1,f,,
Cacatua sanguinea,MV,Borden,Western Australia,Australia,1,m,,
Cacatua sanguinea,MV,Exmouth,Western Australia,Australia,1,m,,
Cacatua sanguinea,MV,Carnarvon,Western Australia,Australia,1,m,,
Cacatua sanguinea,MV,Lake Way,Western Australia,Australia,1,m,,
Cacatua sanguinea,MV,NW Cape,Western Australia,Australia,1,m,,
Cacatua sanguinea,MV,Derby,Western Australia,Australia,2,m,,
Cacatua sanguinea,MV,Ord Irrigation,Western Australia,Australia,1,m,,
Cacatua sanguinea,MV,Oenpelli,Northern Territory,Australia,1,m,,
Cacatua sanguinea,MV,Groote Eylandt,Northern Territory,Australia,1,m,,
Cacatua sanguinea,MV,"Marla, SA",South Australia,Australia,2,m,,
Cacatua sanguinea,MV,"Richman Valley, Flinders Ranges",South Australia,Australia,1,m,,
Cacatua sanguinea,MV,"Wilpera, Flinders Ranges",South Australia,Australia,1,m,,
Cacatua sanguinea,MV,Mildura,Victoria,Australia,1,m,,
Cacatua sanguinea,MV,Merbein,Victoria,Australia,4,m,,
Cacatua sanguinea,MV,Lake Albacutya,Victoria,Australia,1,m,,
Cacatua sanguinea,MV,Borden,Western Australia,Australia,1,f,,
Cacatua sanguinea,MV,Cape Range NP,Western Australia,Australia,1,f,,
Cacatua sanguinea,MV,Lake Way,Western Australia,Australia,1,f,,
Cacatua sanguinea,MV,Dampier Island,Western Australia,Australia,2,f,,
Cacatua sanguinea,MV,Minilya River,Western Australia,Australia,1,f,,
Cacatua sanguinea,MV,Ord Irrigation,Western Australia,Australia,2,f,,
Cacatua sanguinea,MV,Oenpelli,Northern Territory,Australia,2,f,,
Cacatua sanguinea,MV,"Richman Valley, Flinders Ranges",South Australia,Australia,2,f,,
Cacatua sanguinea,MV,Frome Downs,South Australia,Australia,1,f,,
Cacatua sanguinea,MV,Little Murray River,Victoria,Australia,1,f,,
Cacatua sanguinea,MV,Whyjouta Station,New South Wales,Australia,1,f,,
Cacatua sanguinea,ANWC,Bulloo River Station,Northern Territory,Australia,1,m,,
Cacatua sanguinea,ANWC,Annaburroo Station,Northern Territory,Australia,1,m,,main plume missing
Cacatua sanguinea,ANWC,Mountain Valley Station,Northern Territory,Australia,2,m,,
Cacatua sanguinea,ANWC,Koolpinyah,Northern Territory,Australia,2,f,,
Cacatua sanguinea,ANWC,Annaburroo Station,Northern Territory,Australia,1,f,,main plume missing
Cacatua sanguinea,ANWC,28km SE Wyndham,Western Australia,Australia,1,m,,
Cacatua sanguinea,ANWC,10km SE Bulka Station,Western Australia,Australia,5,m,,
Cacatua sanguinea,ANWC,35km S Broome,Western Australia,Australia,2,m,,
Cacatua sanguinea,ANWC,Doon Doon Roadhouse,Western Australia,Australia,1,m,,
Cacatua sanguinea,ANWC,10km SE Bulka Station,Western Australia,Australia,2,m,,
Cacatua sanguinea,ANWC,Derby,Western Australia,Australia,7,-,,
Cacatua sanguinea,SAMA + SA White,Fitzroy River (NWA),Queensland,Australia,1,m,,
Cacatua sanguinea,SAMA + SA White,"Adelaide River, NT",Northern Territory,Australia,1,m,,
Cacatua sanguinea,SAMA + SA White,Groote Eylandt,Northern Territory,Australia,2,m,,
Cacatua sanguinea,SAMA + SA White,Anna Creek,South Australia,Australia,1,m,,
Cacatua sanguinea,SAMA + SA White,Moolooloo,South Australia,Australia,1,m,,
Cacatua sanguinea,SAMA + SA White,Billa Kalina Station,South Australia,Australia,1,m,,
Cacatua sanguinea,SAMA + SA White,N of North Flinders Ranges,South Australia,Australia,1,m,,
Cacatua sanguinea,SAMA + SA White,S. Quorn,South Australia,Australia,1,m,,
Cacatua sanguinea,SAMA + SA White,Melrose,South Australia,Australia,2,m,,
Cacatua sanguinea,SAMA + SA White,Crystal Brook,South Australia,Australia,3,m,,
Cacatua sanguinea,SAMA + SA White,Koolunga,South Australia,Australia,4,m,,
Cacatua sanguinea,SAMA + SA White,One Tree Hill,South Australia,Australia,1,m,,
Cacatua sanguinea,SAMA + SA White,Meda,Western Australia,Australia,1,f,,
Cacatua sanguinea,SAMA + SA White,"Adelaide River, NT",Northern Territory,Australia,1,f,,
Cacatua sanguinea,SAMA + SA White,Melville Island,Northern Territory,Australia,1,f,,
Cacatua sanguinea,SAMA + SA White,40mi SW Innamincka,South Australia,Australia,1,f,,
Cacatua sanguinea,SAMA + SA White,Mt Lyndhurst,South Australia,Australia,1,f,,
Cacatua sanguinea,SAMA + SA White,Moolooloo,South Australia,Australia,1,f,,
Cacatua sanguinea,SAMA + SA White,Beltana,South Australia,Australia,1,f,,
Cacatua sanguinea,SAMA + SA White,Owieandana. N Flinders,South Australia,Australia,1,f,,"sub, juv"
Cacatua sanguinea,SAMA + SA White,Bunkers,South Australia,Australia,2,f,,
Cacatua sanguinea,SAMA + SA White,S. Quorn,South Australia,Australia,1,f,,
Cacatua sanguinea,SAMA + SA White,Georgetown,South Australia,Australia,1,f,,
Cacatua sanguinea,SAMA + SA White,Melrose,South Australia,Australia,2,f,,
Cacatua sanguinea,SAMA + SA White,Crystal Brook,South Australia,Australia,1,f,,juv
Cacatua sanguinea,SAMA + SA White,Koolunga,South Australia,Australia,2,f,,
Cacatua sanguinea,SAMA + SA White,Buckland Park,South Australia,Australia,1,f,,
Cacatua sanguinea,SAMA + SA White,One Tree Hill,South Australia,Australia,1,f,,
Cacatua sanguinea,SAMA + SA White,Langhorne Creek,South Australia,Australia,1,f,,
Cacatua sanguinea,WAM,Eureka,Northern Territory,Australia,1,m,,
Cacatua sanguinea,WAM,Coolibah Crossing Victoria River,Northern Territory,Australia,1,m,,
Cacatua sanguinea,WAM,"Lighthouse Creek, Nicholson River",,Australia,1,m,,
Cacatua sanguinea,WAM,Ord Dam,Western Australia,Australia,1,m,,
Cacatua sanguinea,WAM,"Middle Fitzroy, -18'37', 125'45'",Western Australia,Australia,1,m,,
Cacatua sanguinea,WAM,Derby,Western Australia,Australia,1,m,,
Cacatua sanguinea,WAM,Sandfire Rd House,Western Australia,Australia,3,m,,coll. JR Ford
Cacatua sanguinea,WAM,Coolibah Crossing Victoria Rd,Northern Territory,Australia,1,f,,
Cacatua sanguinea,WAM,Mt Hart Station,Western Australia,Australia,1,f,,
Cacatua sanguinea,WAM,"Lighthouse Creek, Nicholson River",,Australia,1,f,,
Cacatua sanguinea,WAM,Edgar Ranges,Western Australia,Australia,1,f,,
Cacatua sanguinea,WAM,E Gardiner Ranges,Northern Territory,Australia,1,f,,
Cacatua sanguinea,WAM,Robe River Crossing on W Highway,Western Australia,Australia,1,m,,
Cacatua sanguinea,WAM,"Dolphin Island, Dampier Archipeligo",Western Australia,Australia,4,m,,
Cacatua sanguinea,WAM,Minilya River,Western Australia,Australia,1,m,,
Cacatua sanguinea,WAM,Tom Price,Western Australia,Australia,1,m,,
Cacatua sanguinea,WAM,Ashburton River,Western Australia,Australia,1,m,,
Cacatua sanguinea,WAM,Turee Creek,Western Australia,Australia,2,m,,
Cacatua sanguinea,WAM,Yardie Creek,Western Australia,Australia,2,m,,
Cacatua sanguinea,WAM,Cardabia Creek,Western Australia,Australia,1,m,,
Cacatua sanguinea,WAM,Wooramel River,Western Australia,Australia,1,m,,
Cacatua sanguinea,WAM,Murchison River,Western Australia,Australia,1,m,,
Cacatua sanguinea,WAM,"Strawberry Bridge, Irwin River",Western Australia,Australia,2,m,,
Cacatua sanguinea,WAM,Morawa,Western Australia,Australia,1,m,,
Cacatua sanguinea,WAM,"Warri Warri Creek, Oakover River",Western Australia,Australia,2,f,,
Cacatua sanguinea,WAM,Millstream,Western Australia,Australia,1,f,,
Cacatua sanguinea,WAM,Turee Creek,Western Australia,Australia,1,f,,
Cacatua sanguinea,WAM,Tom Price,Western Australia,Australia,1,f,,
Cacatua sanguinea,WAM,Tambrey ,Western Australia,Australia,1,f,,
Cacatua sanguinea,WAM,"Dolphin Island, Dampier Archipeligo",Western Australia,Australia,1,f,,
Cacatua sanguinea,WAM,Minilya River,Western Australia,Australia,2,f,,
Cacatua sanguinea,WAM,Wooramel River,Western Australia,Australia,2,f,,
