"","species_name","museum_name","location","state","country","sex","subspecies","X","place","lat","lon"
"25","cacatua pastinator","ANWC","Tone River Bridge","Western Australia","Australia","f","pastinator","","Tone River Bridge, Western Australia, Australia",NA,NA
"26","cacatua pastinator","ANWC","Tone River Bridge","Western Australia","Australia","f","pastinator","","Tone River Bridge, Western Australia, Australia",NA,NA
"27","cacatua pastinator","ANWC","Tone River Bridge","Western Australia","Australia","f","pastinator","","Tone River Bridge, Western Australia, Australia",NA,NA
"28","cacatua pastinator","ANWC","Tone River Bridge","Western Australia","Australia","f","pastinator","","Tone River Bridge, Western Australia, Australia",NA,NA
"29","cacatua pastinator","ANWC","Mayanup","Western Australia","Australia","f","pastinator","","Mayanup, Western Australia, Australia",-33.9319555,116.4529629
"30","cacatua pastinator","ANWC","Mayanup","Western Australia","Australia","f","pastinator","","Mayanup, Western Australia, Australia",-33.9319555,116.4529629
"31","cacatua pastinator","ANWC","Mordalup","Western Australia","Australia","f","pastinator","","Mordalup, Western Australia, Australia",-34.330762,116.6109262
"32","cacatua pastinator","ANWC","Mordalup","Western Australia","Australia","f","pastinator","","Mordalup, Western Australia, Australia",-34.330762,116.6109262
"33","cacatua pastinator","WAM","Cuballing","Western Australia","Australia","m","derbyi","","Cuballing, Western Australia, Australia",-32.7402725,117.1463621
"34","cacatua pastinator","WAM","Yandanooka","Western Australia","Australia","m","derbyi","","Yandanooka, Western Australia, Australia",-29.299607,115.6480933
"35","cacatua pastinator","WAM","Morawa","Western Australia","Australia","m","derbyi","","Morawa, Western Australia, Australia",-29.0333305,116.0267293
"36","cacatua pastinator","WAM","Carnamah","Western Australia","Australia","m","derbyi","","Carnamah, Western Australia, Australia",-29.730165,115.9667961
"37","cacatua pastinator","WAM","Carnamah","Western Australia","Australia","m","derbyi","","Carnamah, Western Australia, Australia",-29.730165,115.9667961
"38","cacatua pastinator","WAM","Coorow","Western Australia","Australia","m","derbyi","","Coorow, Western Australia, Australia",-29.9797936,115.6188032
"39","cacatua pastinator","WAM","Coorow","Western Australia","Australia","m","derbyi","","Coorow, Western Australia, Australia",-29.9797936,115.6188032
"40","cacatua pastinator","WAM","Coorow","Western Australia","Australia","m","derbyi","","Coorow, Western Australia, Australia",-29.9797936,115.6188032
"41","cacatua pastinator","WAM","Coorow","Western Australia","Australia","m","derbyi","","Coorow, Western Australia, Australia",-29.9797936,115.6188032
"42","cacatua pastinator","WAM","Coorow","Western Australia","Australia","m","derbyi","","Coorow, Western Australia, Australia",-29.9797936,115.6188032
"43","cacatua pastinator","WAM","Coorow","Western Australia","Australia","m","derbyi","","Coorow, Western Australia, Australia",-29.9797936,115.6188032
"44","cacatua pastinator","WAM","Three Springs","Western Australia","Australia","m","derbyi","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"45","cacatua pastinator","WAM","Three Springs","Western Australia","Australia","m","derbyi","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"46","cacatua pastinator","WAM","Three Springs","Western Australia","Australia","m","derbyi","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"47","cacatua pastinator","WAM","Three Springs","Western Australia","Australia","m","derbyi","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"48","cacatua pastinator","WAM","Three Springs","Western Australia","Australia","m","derbyi","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"49","cacatua pastinator","WAM","Three Springs","Western Australia","Australia","m","derbyi","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"50","cacatua pastinator","WAM","Three Springs","Western Australia","Australia","m","derbyi","","Three Springs, Western Australia, Australia",-29.4913105,115.6356876
"51","cacatua pastinator","WAM","Cockleshell Gully","Western Australia","Australia","m","derbyi","","Cockleshell Gully, Western Australia, Australia",-29.9826689,115.1155668
"52","cacatua pastinator","WAM","Cockleshell Gully","Western Australia","Australia","m","derbyi","","Cockleshell Gully, Western Australia, Australia",-29.9826689,115.1155668
"53","cacatua pastinator","WAM","Cockleshell Gully","Western Australia","Australia","m","derbyi","","Cockleshell Gully, Western Australia, Australia",-29.9826689,115.1155668
"54","cacatua pastinator","WAM","Cockleshell Gully","Western Australia","Australia","m","derbyi","","Cockleshell Gully, Western Australia, Australia",-29.9826689,115.1155668
"55","cacatua pastinator","WAM","Dandaragan","Western Australia","Australia","m","derbyi","","Dandaragan, Western Australia, Australia",-30.5425527,115.4291508
"56","cacatua pastinator","WAM","Dandaragan","Western Australia","Australia","m","derbyi","","Dandaragan, Western Australia, Australia",-30.5425527,115.4291508
"57","cacatua pastinator","WAM","Dandaragan","Western Australia","Australia","m","derbyi","","Dandaragan, Western Australia, Australia",-30.5425527,115.4291508
"58","cacatua pastinator","WAM","Dandaragan","Western Australia","Australia","m","derbyi","","Dandaragan, Western Australia, Australia",-30.5425527,115.4291508
"59","cacatua pastinator","WAM","Wongan Hills","Western Australia","Australia","m","derbyi","","Wongan Hills, Western Australia, Australia",-30.8916507,116.718912
"60","cacatua pastinator","WAM","Ebano","Western Australia","Australia","f","derbyi","","Ebano, Western Australia, Australia",-29.1233931,115.6350472
"61","cacatua pastinator","WAM","Coorow","Western Australia","Australia","f","derbyi","","Coorow, Western Australia, Australia",-29.9797936,115.6188032
"62","cacatua pastinator","WAM","Coorow","Western Australia","Australia","f","derbyi","","Coorow, Western Australia, Australia",-29.9797936,115.6188032
"63","cacatua pastinator","WAM","Coorow","Western Australia","Australia","f","derbyi","","Coorow, Western Australia, Australia",-29.9797936,115.6188032
"64","cacatua pastinator","WAM","Coorow","Western Australia","Australia","f","derbyi","","Coorow, Western Australia, Australia",-29.9797936,115.6188032
