"taxonConceptID","count","electorate","electorate_sum","prop_by_electorate","z_score_proportions","z_score_counts","z_squared","rank","phylum","class","order","family","species","vernacular_name","state"
"urn:lsid:biodiversity.org.au:afd.taxon:9e955284-a793-4594-a364-1c05977bc428",12,"Lindsay",27877,0.000430462388348818,2.26015478066533,2.07016650043032,4.6788967127208,"species","Arthropoda","Insecta","Hemiptera","Cicadidae","Atrapsalta collina",NA,"NSW"
"urn:lsid:biodiversity.org.au:afd.taxon:7103c645-a2d8-4a68-91c9-5c8b3e957c40",2453,"Lingiari",236463,0.0103737159724777,5.58916544464689,3.19182980917171,17.8396648746164,"species","Chordata","Mammalia","Peramelemorphia","Peramelidae","Isoodon macrourus","Northern Brown Bandicoot","NT"
"urn:lsid:biodiversity.org.au:afd.taxon:8f3ddcfc-0cfc-493b-885d-d48220354c35",121,"Longman",79916,0.001514089794284,5.18189006052629,2.67855956162891,13.8800011689325,"species","Arthropoda","Insecta","Lepidoptera","Geometridae","Epidesmia tryxaria",NA,"QLD"
"urn:lsid:biodiversity.org.au:afd.taxon:97874787-7705-41c8-8b3b-6594bd06cc20",120,"Lyne",172542,0.000695482838960949,5.07899151687974,2.90053484403438,14.7317918672647,"species","Arthropoda","Insecta","Lepidoptera","Notodontidae","Destolmia lineata",NA,"NSW"
"urn:lsid:biodiversity.org.au:afd.taxon:6e5e11a5-cc63-476f-a3e9-2fb3e5986d1d",21,"Lyons",54423,0.000385866269775646,4.79328184753387,2.70509601836542,12.9662876406671,"species","Arthropoda","Insecta","Lepidoptera","Cossidae","Endoxyla lituratus",NA,"TAS"
"urn:lsid:biodiversity.org.au:afd.taxon:3f12e573-a7b7-45e7-a6e4-aeae9bc3a9ed",446,"Macarthur",19429,0.0229553759843533,7.67865681041062,2.58089353958667,19.8177957546919,"species","Chordata","Aves","Psittaciformes","Psittacidae","Lathamus discolor","Swift Parrot","NSW"
"urn:lsid:biodiversity.org.au:afd.taxon:b7f0dff8-b0a3-4844-8c82-066699e42075",11,"Mackellar",43734,0.000251520556089084,3.79327878789561,2.12363064596167,8.05552308265144,"species","Arthropoda","Insecta","Hemiptera","Gerridae","Tenagogerris euphrosyne",NA,"NSW"
"urn:lsid:biodiversity.org.au:afd.taxon:6ba39ddc-687c-472b-8c1f-d0fc029e6890",973,"Macnamara",67181,0.0144832616364746,2.8953501850416,1.49899288434785,4.3401093250726,"species","Chordata","Aves","Passeriformes","Meliphagidae","Manorina melanophrys","Bell Miner","VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:9bf4e686-a21f-4290-a9ba-467565ab4720",42,"Macquarie",132968,0.000315865471391613,3.08147115373919,2.71506773924943,8.36640291894498,"species","Arthropoda","Malacostraca","Decapoda","Parastacidae","Euastacus spinifer","Sydney Crayfish","NSW"
"urn:lsid:biodiversity.org.au:afd.taxon:82bbd853-36e5-4813-9c9d-9be3b01d5965",93,"Makin",17737,0.0052432767660822,7.58248613123496,2.70014680766995,20.4738257214557,"species","Chordata","Aves","Gruiformes","Rallidae","Porphyrio porphyrio","Purple Swamphen","SA"
"urn:lsid:biodiversity.org.au:afd.taxon:7ca083b3-2ba1-4b77-8a57-715675fb3d8e",132,"Mallee",195893,0.000673837247885325,4.07181542201118,3.96340746385833,16.1382636350526,"species","Arthropoda","Insecta","Diptera","Muscidae","Pygophora apicalis",NA,"VIC"
"urn:lsid:biodiversity.org.au:afd.taxon:9d221af4-cd38-4446-8387-7fb66c48ac8e",1308,"Maranoa",230929,0.00566407856960364,4.42197603023727,2.48654996299937,10.9954643343706,"species","Chordata","Aves","Passeriformes","Artamidae","Artamus personatus","Masked Woodswallow","QLD"
"urn:lsid:biodiversity.org.au:afd.taxon:07c53617-7d4b-4256-9c96-f6f84d64afcd",22,"Maribyrnong",21615,0.00101781170483461,3.92086052394363,1.79861161577234,7.05210528218823,"species","Arthropoda","Insecta","Lepidoptera","Psychidae","Metura elongatus",NA,"VIC"
