electorate,electorate_records.x,electorate_spp,taxonConceptID,species,kingdom,phlum,count,electorate_records.y,prop_obs,z_score,scientific_name,scientific_name_authorship,rank,match_type,phylum,class,order,family,genus,vernacular_name,issues,state
Cowper,117343,640,urn:lsid:biodiversity.org.au:afd.taxon:2e0b8093-273f-4291-80f7-d99d15a84bbd,Ardenna pacifica,Animalia,Chordata,595,117343,0.005070605,4.134400024,Ardenna pacifica,"(Gmelin, 1789)",species,taxonIdMatch,Chordata,Aves,Procellariiformes,Procellariidae,Ardenna,Wedge-tailed Shearwater,noIssue,NSW
Cunningham,105694,393,urn:lsid:biodiversity.org.au:afd.taxon:702795be-d490-47d3-9a2a-37aec5d43af9,Ptilonorhynchus violaceus,Animalia,Chordata,2109,105694,0.019953829,3.669028912,Ptilonorhynchus violaceus,"(Vieillot, 1816)",species,taxonIdMatch,Chordata,Aves,Passeriformes,Ptilonorhynchidae,Ptilonorhynchus,Satin Bowerbird,noIssue,NSW
Curtin,53704,280,urn:lsid:biodiversity.org.au:afd.taxon:decc8626-8424-4ffc-8d2e-474b316453a9,Nycticorax caledonicus,Animalia,Chordata,618,53704,0.011507523,6.968718305,Nycticorax caledonicus,"(Gmelin, 1789)",species,taxonIdMatch,Chordata,Aves,Ciconiiformes,Ardeidae,Nycticorax,Nankeen night heron,noIssue,WA
Dawson,42222,557,urn:lsid:biodiversity.org.au:afd.taxon:29f2f727-146d-42bd-a752-1e06abb32567,Dendrocygna eytoni,Animalia,Chordata,345,42222,0.008171096,4.280040068,Dendrocygna (Leptotarsis) eytoni,"(Eyton, 1838)",species,taxonIdMatch,Chordata,Aves,Anseriformes,Anatidae,Dendrocygna,Grey Whistler,noIssue,QLD
Deakin,17988,173,urn:lsid:biodiversity.org.au:afd.taxon:89c4827f-8dc7-4578-bb15-9f7e6e1764e6,Podargus strigoides,Animalia,Chordata,397,17988,0.022070269,5.856742084,Podargus strigoides,"(Latham, 1801)",species,taxonIdMatch,Chordata,Aves,Caprimulgiformes,Podargidae,Podargus,Tawny Frogmouth,noIssue,VIC
Dickson,174301,395,urn:lsid:biodiversity.org.au:afd.taxon:486b871c-47d6-4b3b-8044-22abbfc6e255,Turnix pyrrhothorax,Animalia,Chordata,45,174301,0.000258174,2.221572162,Turnix pyrrhothorax,"(Gould, 1841)",species,taxonIdMatch,Chordata,Aves,Turniciformes,Turnicidae,Turnix,Red-chested Button-quail,noIssue,QLD
Dobell,43348,412,urn:lsid:biodiversity.org.au:afd.taxon:b2bf49cd-3e0d-4b13-9315-670adfddeba7,Litoria peronii,Animalia,Chordata,1720,43348,0.039678878,8.885145268,Litoria peronii,"(Tschudi, 1838)",species,taxonIdMatch,Chordata,Amphibia,Anura,Hylidae,Litoria,Peron's Tree Frog,noIssue,NSW
Dunkley,14527,229,urn:lsid:biodiversity.org.au:afd.taxon:0f7abf35-bf5c-4184-a10f-3567e4e82f55,Saproscincus mustelinus,Animalia,Chordata,14,14527,0.000963723,3.934100794,Saproscincus mustelinus,"(O'Shaughnessy, 1874)",species,taxonIdMatch,Chordata,Reptilia,Squamata,Scincidae,Saproscincus,Weasel Skink,noIssue,VIC
Durack,211539,820,urn:lsid:biodiversity.org.au:afd.taxon:75801261-975f-436f-b1c7-d395a06dc067,Circus assimilis,Animalia,Chordata,445,211539,0.002103631,5.639968745,Circus assimilis,"Jardine & Selby, 1828",species,taxonIdMatch,Chordata,Aves,Falconiformes,Accipitridae,Circus,Spotted Harrier,noIssue,WA
Eden-Monaro,135384,631,urn:lsid:biodiversity.org.au:afd.taxon:e079f94d-3d7f-4deb-ae29-053fec4d1b53,Vombatus ursinus,Animalia,Chordata,1895,135384,0.013997223,5.429141601,Vombatus ursinus,"(Shaw, 1800)",species,taxonIdMatch,Chordata,Mammalia,Diprotodontia,Vombatidae,Vombatus,Common Wombat,noIssue,NSW
Fadden,32932,333,urn:lsid:biodiversity.org.au:afd.taxon:6e718a65-6fec-44ec-a09a-ab2a0f2d464b,Gallinago hardwickii,Animalia,Chordata,158,32932,0.004797765,3.61630204,Gallinago (Gallinago) hardwickii,"(J.E. Gray, 1831)",species,taxonIdMatch,Chordata,Aves,Charadriiformes,Scolopacidae,Gallinago,Latham's Snipe,noIssue,QLD
Fairfax,60548,418,urn:lsid:biodiversity.org.au:afd.taxon:025b08d1-0e50-4723-b581-9be91d8d09ed,Rhipidura rufifrons,Animalia,Chordata,421,60548,0.006953161,2.979473651,Rhipidura (Howeavis) rufifrons,"(Latham, 1801)",species,taxonIdMatch,Chordata,Aves,Passeriformes,Rhipiduridae,Rhipidura,Rufous Fantail,noIssue,QLD
