recordID,scientificName,taxonConceptID,decimalLatitude,decimalLongitude,eventDate,occurrenceStatus,dataResourceName,country,stateProvince,year,geometry
5ec7e155-ee0d-4f7d-9adb-2f8e395e58cd,Uredo rangelii,ALA_DR22913_238,-31.535224,152.733971,2012-12-07T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(152.733971, -31.535224)"
66f27dca-3989-4620-af9a-b97bc8f4780e,Uredo rangelii,ALA_DR22913_238,-34.300507,150.924779,2012-05-08T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(150.924779, -34.300507)"
68106a36-93e1-4d29-a8e1-dfb6813322a0,Uredo rangelii,ALA_DR22913_238,-32.235278,151.729722,2012-01-17T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(151.729722, -32.235278)"
6961e724-3bf8-4511-b283-05283e33617f,Uredo rangelii,ALA_DR22913_238,-33.375254,150.673134,2012-04-16T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(150.673134, -33.375254)"
6a5b78a2-1009-4344-b129-39e71389558c,Austropuccinia psidii,NZOR-6-102802,-27.539770999999998,153.033118,2012-04-05T06:52:00Z,PRESENT,iNaturalist Australia,Australia,Queensland,2012,"c(153.033118, -27.539771)"
7fcb8f7e-1341-456e-ab8e-01689cf28407,Uredo rangelii,ALA_DR22913_238,-31.352222,152.751667,2012-01-18T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(152.751667, -31.352222)"
86a18268-ec10-4791-8564-73629ce88878,Uredo rangelii,ALA_DR22913_238,-33.811111,151.200278,2012-01-30T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(151.200278, -33.811111)"
9365c2c1-6901-4b9d-8152-b5e90fa125fb,Uredo rangelii,ALA_DR22913_238,-31.64586,152.627653,2012-09-27T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(152.627653, -31.64586)"
9c75ba5c-5d97-4395-9886-5354b8950f8a,Uredo rangelii,ALA_DR22913_238,-31.761667,152.597778,2012-01-18T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(152.597778, -31.761667)"
a47c0cc3-7b1f-4008-8234-8a7291c0f87d,Uredo rangelii,ALA_DR22913_238,-33.75815,150.965583,2012-01-01T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(150.965583, -33.75815)"
ab605b94-2cc1-4b25-95ab-d9afeef9ca8f,Uredo rangelii,ALA_DR22913_238,-30.865572,152.795157,2012-02-09T00:00:00Z,PRESENT,NSW BioNet Atlas,Australia,New South Wales,2012,"c(152.795157, -30.865572)"
